#{"t_start": 1776473456.4382641, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-182.619404,135,1.685605
-637.730829,71,2.456712
-36.857162,242,5.251193
-214.425601,154,7.05819
-234.148881,220,9.487043
-377.044375,150,11.142364
-233.526139,279,14.3281
-338.86136,165,16.106282
-226.89981,124,17.441223
-166.68184,76,18.270825
-277.762483,97,19.481404
-316.918365,185,21.812997
-92.314547,156,23.796055
-222.112063,166,25.763201
-264.218854,108,26.970477
-245.637592,201,29.229371
-193.733594,358,33.166389
-184.662347,396,38.062823
-475.951107,278,41.446253
-81.567317,239,43.999887
-267.319523,146,45.583799
-289.305837,120,46.848827
-250.982267,165,48.723678
-263.86923,183,50.674488
-241.259929,111,51.899605
-107.971574,74,52.65266
-176.611231,82,53.529783
6.012093,222,56.186888
-39.776163,200,58.648186
-256.015551,524,64.602931
-33.516676,154,66.356078
-165.753379,268,69.26143
-155.665686,213,71.423346
-16.506618,250,73.894172
-130.400871,220,76.2095
-175.169366,385,81.095478
-2.653025,1000,91.533217
-181.855713,786,100.778317
-66.47511,223,103.358853
-192.580659,445,108.170347
-97.829859,192,110.369889
-178.194278,855,119.852903
120.960536,716,128.253487
-77.467071,262,131.492195
207.757626,786,139.958505
251.954869,564,146.268277
-79.81053,291,149.7558
-18.166269,308,152.96595
-215.374662,254,155.471153
9.597349,240,157.883315
-50.505598,311,161.485819
30.791541,320,165.475541
-38.047823,251,168.291525
-21.191539,208,170.475183
-39.447709,322,173.714276
6.548636,279,176.621024
33.895419,293,179.69293
-262.077867,253,182.375746
12.964188,234,185.053723
-341.63529,311,188.679681
-35.240985,280,192.233088
-35.059601,343,196.086047
-65.907972,426,200.361891
-1.54556,272,203.388894
-33.37545,310,206.855136
-3.370067,285,209.997715
-6.020228,431,214.820619
-121.222778,343,218.840216
-22.083836,308,222.637645
-142.056754,459,228.098815
218.076038,548,233.884267
-63.814613,449,239.163124
150.603803,805,248.462802
23.851858,211,250.904167
-36.282721,372,255.196176
-1.636706,270,258.33839
-209.84967,175,260.316885
32.332213,188,262.513466
-270.27415,577,269.291507
4.616938,252,272.311281
-34.513789,270,275.440897
224.133713,393,279.964545
-24.033862,296,283.319077
-110.115764,388,287.887233
52.76847,214,290.466149
243.940164,478,295.953442
10.024563,214,298.430395
179.621496,374,302.652204
243.612864,312,306.294917
245.460939,407,311.060075
144.950185,522,317.357577
-144.257683,476,322.800519
213.930959,461,328.031284
-79.554476,313,331.919878
231.115377,507,337.883836
264.923339,283,341.150984
203.208381,437,346.496827
245.108421,305,350.047533
264.582243,288,353.195392
30.98121,219,355.674742
25.308973,188,358.046938
200.713302,536,364.439577
163.384608,643,371.468473
231.979276,317,374.912045
174.413018,676,383.485387
227.247358,449,388.611676
180.90875,457,393.996599
-71.558251,1000,406.300171
19.628554,164,407.908597
203.046706,453,412.375517
27.000911,165,414.405385
220.896724,474,420.408845
-4.191152,217,422.577121
130.722666,803,431.317437
158.020551,875,441.899246
251.492507,318,445.421341
-46.333546,131,446.835927
-95.297269,265,449.692749
177.874947,502,456.044856
-418.454275,509,461.691035
-55.810681,108,462.904032
-26.897034,90,463.897356
-41.882231,114,465.213728
225.878133,516,471.198792
-44.271318,141,472.912119
-4.919088,117,474.331647
222.311859,428,479.390708
-71.021164,121,480.809319
-105.350707,78,481.650857
267.053071,333,485.434148
249.189353,237,488.262282
-2.258067,141,490.096262
230.758347,460,496.443674
-86.064801,223,499.484505
22.970629,111,500.884594
-506.607199,110,502.052584
-272.981026,231,504.696318
-79.429,115,506.055082
-172.570819,133,507.770448
-42.683957,149,509.634594
-373.604057,399,513.864836
246.143195,380,518.023877
288.918631,315,521.757143
278.827478,321,525.738096
252.069743,564,532.238355
226.333451,268,534.992483
215.748837,259,537.604159
254.296328,251,540.322981
-11.001165,144,541.950622
-30.422714,269,545.039088
250.100197,232,547.644881
-65.122084,113,548.880631
266.003375,457,553.989282
185.733991,911,563.856754
282.864924,376,567.893095
257.88942,210,570.432652
153.711202,922,581.440902
244.196392,281,584.395225
14.601346,231,586.7649
244.767915,276,589.809943
