#{"t_start": 1776559588.7049203, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-182.619404,135,1.606041
-637.730829,71,2.441085
-36.857162,242,5.030674
-214.425601,154,6.771005
-234.148881,220,9.254533
-377.044375,150,10.994983
-233.526139,279,14.245804
-338.86136,165,16.053929
-226.89981,124,17.403275
-166.68184,76,18.231724
-277.762483,97,19.248284
-316.918365,185,21.189099
-92.314547,156,22.987816
-222.112063,166,24.748318
-264.218854,108,25.904198
-245.637592,201,28.030677
-193.733594,358,31.975447
-184.662347,396,36.454677
-475.951107,278,39.486281
-81.567317,239,42.176831
-267.319523,146,43.878318
-289.305837,120,45.228535
-250.982267,165,47.065489
-263.86923,183,49.104486
-241.259929,111,50.367302
-107.971574,74,51.192803
-176.611231,82,52.120027
6.012093,222,54.515209
-39.776163,200,56.756442
-256.015551,524,62.391717
-33.516676,154,63.981767
-165.753379,268,66.9488
-155.665686,213,69.222338
-16.506618,250,71.943413
-130.400871,220,74.565971
-175.169366,385,79.015482
-2.653025,1000,89.978891
-181.855713,786,98.300414
-66.47511,223,101.182123
-192.580659,445,106.491224
-97.829859,192,108.332077
-178.194278,855,117.970834
120.960536,716,126.239757
-77.467071,262,128.894133
207.757626,786,137.398244
251.954869,564,143.814713
-79.81053,291,147.245887
-18.166269,308,151.085608
-215.374662,254,154.28343
9.597349,240,156.980959
-50.505598,311,160.361712
30.791541,320,164.02009
-38.047823,251,166.799944
-21.191539,208,169.107064
-39.447709,322,172.577446
6.548636,279,175.771404
33.895419,293,179.387581
-262.077867,253,182.409784
12.964188,234,185.16149
-341.63529,311,188.592417
-35.240985,280,191.609155
-35.059601,343,195.282983
-65.907972,426,200.073408
-1.54556,272,203.365694
-33.37545,310,207.345967
-3.370067,285,210.575865
-6.020228,431,215.564319
-121.222778,343,219.541935
-22.083836,308,223.166464
-142.056754,459,228.637132
218.076038,548,234.604404
-63.814613,449,239.678046
150.603803,805,248.174628
23.851858,211,250.494202
-36.282721,372,254.409101
-1.636706,270,257.768861
-209.84967,175,260.064656
32.332213,188,262.363046
-270.27415,577,268.584918
4.616938,252,271.479205
-34.513789,270,274.453892
224.133713,393,278.823642
-24.033862,296,282.345994
-110.115764,388,287.251233
52.76847,214,289.889652
243.940164,478,295.076553
10.024563,214,297.318529
179.621496,374,301.300987
243.612864,312,304.981815
245.460939,407,309.585304
144.950185,522,315.202142
-144.257683,476,320.758656
213.930959,461,325.984217
-79.554476,313,329.668019
231.115377,507,335.858361
264.923339,283,339.233064
203.208381,437,344.274773
245.108421,305,347.417822
264.582243,288,350.505491
30.98121,219,352.855912
25.308973,188,354.697155
200.713302,536,361.015338
163.384608,643,368.244651
231.979276,317,371.792238
174.413018,676,379.731386
227.247358,449,384.624285
180.90875,457,389.405249
-71.558251,1000,400.974823
19.628554,164,402.881472
203.046706,453,407.957975
27.000911,165,409.762046
220.896724,474,414.956026
-4.191152,217,417.428441
130.722666,803,426.726292
158.020551,875,436.155928
251.492507,318,439.631975
-46.333546,131,441.214906
-95.297269,265,444.382854
177.874947,502,450.45353
-418.454275,509,456.557649
-55.810681,108,457.677523
-26.897034,90,458.680121
-41.882231,114,459.890894
225.878133,516,465.433102
-44.271318,141,467.133112
-4.919088,117,468.471831
222.311859,428,473.550299
-71.021164,121,474.972787
-105.350707,78,475.781212
267.053071,333,479.388462
249.189353,237,482.024924
-2.258067,141,483.505296
230.758347,460,489.015585
-86.064801,223,491.593794
22.970629,111,492.818514
-506.607199,110,494.079516
-272.981026,231,496.831112
-79.429,115,498.1925
-172.570819,133,499.71984
-42.683957,149,501.382545
-373.604057,399,506.155639
246.143195,380,510.213427
288.918631,315,513.875821
278.827478,321,517.148551
252.069743,564,523.3702
226.333451,268,526.405337
215.748837,259,529.603228
254.296328,251,532.71549
-11.001165,144,534.19706
-30.422714,269,536.998302
250.100197,232,539.433827
-65.122084,113,540.621178
266.003375,457,545.842185
185.733991,911,556.534587
282.864924,376,560.869527
257.88942,210,563.14848
-9.3291,1000,574.62171
264.073577,229,577.22501
-36.866598,1000,588.403035
-162.430236,728,596.529511
254.241134,299,599.690961
-74.313155,1000,611.328581
268.866118,252,614.191302
202.227585,384,618.419217
230.106143,282,621.678858
223.362888,344,625.730899
316.788197,190,627.818896
