#{"t_start": 1776549819.139455, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-182.619404,135,1.61157
-637.730829,71,2.361115
-36.857162,242,4.811936
-214.425601,154,6.398237
-234.148881,220,8.772841
-377.044375,150,10.304388
-233.526139,279,13.686389
-338.86136,165,15.793602
-226.89981,124,17.355571
-166.68184,76,18.339213
-277.762483,97,19.372987
-316.918365,185,21.318612
-92.314547,156,23.013469
-222.112063,166,24.72901
-264.218854,108,25.799169
-245.637592,201,27.808747
-193.733594,358,31.391222
-184.662347,396,36.351592
-475.951107,278,39.660813
-81.567317,239,42.068715
-267.319523,146,43.530906
-289.305837,120,44.772912
-250.982267,165,46.527354
-263.86923,183,48.452703
-241.259929,111,49.579218
-107.971574,74,50.350957
-176.611231,82,51.334873
6.012093,222,53.696609
-39.776163,200,55.773978
-256.015551,524,61.114371
-33.516676,154,62.65177
-165.753379,268,65.54692
-155.665686,213,67.861891
-16.506618,250,70.637485
-130.400871,220,73.034659
-175.169366,385,77.456305
-2.653025,1000,88.776076
-181.855713,786,96.730109
-66.47511,223,99.113034
-192.580659,445,104.331766
-97.829859,192,106.658915
-178.194278,855,116.34458
120.960536,716,124.570065
-77.467071,262,127.254858
207.757626,786,135.629633
251.954869,564,142.350367
-79.81053,291,145.891409
-18.166269,308,149.60071
-215.374662,254,152.157821
9.597349,240,154.781391
-50.505598,311,158.269095
30.791541,320,162.001774
-38.047823,251,165.009351
-21.191539,208,167.528332
-39.447709,322,171.098853
6.548636,279,174.408477
33.895419,293,177.839393
-262.077867,253,180.599069
12.964188,234,183.015784
-341.63529,311,186.204393
-35.240985,280,189.437163
-35.059601,343,193.993732
-65.907972,426,198.824585
-1.54556,272,202.178644
-33.37545,310,205.9165
-3.370067,285,209.326534
-6.020228,431,214.302907
-121.222778,343,218.262019
-22.083836,308,221.644468
-142.056754,459,226.995758
218.076038,548,233.127026
-63.814613,449,238.531355
150.603803,805,248.165408
23.851858,211,250.769106
-36.282721,372,255.132205
-1.636706,270,258.26126
-209.84967,175,260.556352
32.332213,188,262.972794
-270.27415,577,269.703974
4.616938,252,272.722234
-34.513789,270,275.864414
224.133713,393,280.322092
-24.033862,296,283.677462
-110.115764,388,288.046044
52.76847,214,290.803273
243.940164,478,296.493212
10.024563,214,298.7365
179.621496,374,302.64274
243.612864,312,306.077719
245.460939,407,310.948293
144.950185,522,317.178566
-144.257683,476,322.962069
213.930959,461,328.406365
-79.554476,313,331.909716
231.115377,507,337.502428
264.923339,283,340.69876
203.208381,437,345.8551
245.108421,305,349.406417
264.582243,288,352.671885
30.98121,219,354.95982
25.308973,188,356.843756
200.713302,536,362.420534
163.384608,643,370.788768
231.979276,317,373.932364
174.413018,676,381.213927
227.247358,449,386.73602
180.90875,457,392.210376
-71.558251,1000,403.112604
19.628554,164,405.107532
203.046706,453,410.78916
27.000911,165,412.485499
220.896724,474,417.357277
-4.191152,217,419.975828
130.722666,803,428.876864
158.020551,875,438.927117
251.492507,318,442.80807
-46.333546,131,444.193836
-95.297269,265,446.971627
177.874947,502,452.270577
-418.454275,509,458.595698
-55.810681,108,459.804006
-26.897034,90,460.821024
-41.882231,114,462.059053
225.878133,516,467.810086
-44.271318,141,469.256838
-4.919088,117,470.546865
222.311859,428,475.242967
-71.021164,121,476.661096
-105.350707,78,477.499826
267.053071,333,480.960985
249.189353,237,483.612878
-2.258067,141,485.144432
230.758347,460,490.892429
-86.064801,223,493.415447
22.970629,111,494.507422
-506.607199,110,495.596428
-272.981026,231,497.93768
-79.429,115,499.07655
-172.570819,133,500.643527
-42.683957,149,502.396828
-373.604057,399,506.622321
246.143195,380,510.669626
288.918631,315,514.513132
278.827478,321,518.753206
252.069743,564,524.913253
226.333451,268,527.761251
215.748837,259,530.658336
254.296328,251,533.498191
-11.001165,144,535.100477
-30.422714,269,538.095489
250.100197,232,540.809357
-65.122084,113,542.184798
266.003375,457,547.781377
185.733991,911,557.781116
282.864924,376,562.102393
257.88942,210,564.746399
153.711202,922,575.090168
244.196392,281,578.675553
14.601346,231,581.534847
244.767915,276,584.529304
261.729057,295,587.598324
259.974923,242,590.506179
-251.89708,831,600.279351
242.74083,290,603.858459
157.483041,850,613.779172
268.419281,281,617.134863
260.575053,279,620.84674
-395.346117,415,625.960126
291.492617,304,629.23701
179.924117,235,631.881726
262.629457,271,634.743203
274.983644,325,638.290375
191.289445,659,646.117752
202.332374,331,649.93195
188.432955,242,652.483788
220.53067,304,655.684177
188.001545,270,658.503702
297.271032,264,661.539941
167.10832,348,665.631876
248.143141,282,668.814204
262.982459,373,672.831248
280.423244,238,675.701026
182.300488,583,682.399339
288.550064,265,685.698447
3.021304,165,687.804211
273.975431,299,690.9094
256.332662,193,692.841674
263.820602,261,695.626631
263.725091,182,697.950413
237.596927,203,700.544893
249.036171,202,702.923672
