#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
248.864738,589,897.183213
248.058616,243,899.77021
281.88056,206,902.025852
231.686008,231,904.50955
230.638307,237,907.281394
235.329171,275,911.960904
233.610932,460,917.475474
3.045364,196,919.390354
212.78952,303,922.74622
242.421626,207,925.114864
249.994584,294,928.461679
-17.007692,1000,938.730344
254.612917,216,940.915971
8.27663,80,941.78196
248.332056,191,943.980692
239.962713,194,946.171936
213.701356,624,953.070901
277.442109,188,955.227273
288.239775,339,959.355569
231.145175,249,962.218272
241.195092,558,968.879398
260.07967,425,973.948206
196.971701,632,981.322105
76.700543,923,992.169816
217.010857,362,996.582159
259.208085,348,1000.776931
227.778964,343,1004.533531
28.177627,1000,1015.785947
223.784423,235,1018.508232
266.571798,231,1021.200367
226.262409,319,1024.909883
262.563607,270,1028.023781
295.114397,217,1030.571273
255.060282,235,1033.260886
-157.94197,835,1042.271864
267.422815,222,1044.613547
-391.523557,798,1055.634415
245.629423,203,1058.108358
263.753463,264,1061.148067
224.046903,399,1065.739492
273.934819,184,1067.711574
275.496046,234,1070.3312
195.735922,261,1073.420588
-134.717688,459,1078.585779
-313.212029,784,1086.797654
270.787905,219,1089.001515
-69.536048,647,1096.85451
-103.01877,1000,1108.007229
20.012424,111,1109.255279
283.853433,258,1112.335568
274.448504,207,1114.609684
271.141032,257,1117.444118
248.221831,208,1119.584514
257.666078,188,1121.441164
265.179857,248,1123.87642
223.650938,281,1127.216969
209.055485,390,1131.665894
154.979683,638,1139.047526
250.086541,214,1141.396911
274.62598,192,1143.419554
-41.504689,1000,1154.188871
291.630695,127,1155.825405
-31.454495,1000,1167.765913
-112.430077,768,1175.760798
238.005008,181,1177.755997
236.203266,207,1180.002351
245.543728,969,1191.387395
248.345361,219,1193.87086
259.434802,260,1196.734678
298.994898,184,1198.730962
246.00357,190,1200.815649
259.81782,203,1203.025396
265.688392,174,1204.999412
250.786485,218,1207.379412
241.796852,238,1209.92582
279.865103,189,1211.920697
244.065153,177,1213.795216
285.510253,151,1215.472992
247.78607,212,1217.959606
292.0229,138,1219.654102
276.348685,209,1222.229671
256.179544,176,1224.229691
288.466018,184,1226.220595
292.116397,314,1229.747803
245.17048,653,1237.349072
244.377874,158,1239.321345
270.506064,179,1241.619799
131.474806,1000,1253.1739
259.082896,201,1255.301555
229.543101,206,1257.583115
261.503083,172,1259.381122
272.056196,174,1261.21702
292.407194,184,1263.163151
75.314217,130,1264.553521
252.110546,398,1268.840207
200.050709,255,1271.733528
245.351153,185,1273.971838
235.35594,206,1276.507243
261.195882,168,1278.474325
269.962576,160,1280.357513
266.492047,153,1282.25929
280.128197,174,1284.335688
278.223017,204,1286.80577
-169.212135,286,1290.201999
246.962355,167,1292.222899
254.592367,239,1294.910276
45.810492,111,1296.136343
266.63136,171,1298.033263
263.966198,189,1300.197311
-258.505316,466,1305.947865
238.65095,184,1308.052871
293.199598,228,1310.618817
266.426668,196,1312.693097
285.989827,207,1314.895499
288.099533,221,1317.265036
214.410256,401,1321.756812
246.44726,236,1324.624222
29.341099,174,1326.828663
256.002954,186,1328.850035
242.705164,334,1332.456626
189.798497,497,1338.359368
272.973002,189,1340.748457
238.168872,202,1343.081887
264.843732,164,1344.998772
281.447251,311,1348.401716
276.232353,225,1351.011693
250.18123,413,1355.50988
255.432859,519,1361.958843
16.718112,109,1363.30703
264.903071,295,1366.4006
282.757125,151,1367.954461
235.546137,454,1372.697426
260.122745,184,1374.516473
249.813041,185,1376.28317
255.270491,171,1378.459631
287.848385,148,1380.400045
287.637308,162,1382.509567
232.64484,290,1385.724262
259.82376,194,1387.608714
248.604319,156,1389.233598
45.440129,95,1390.186109
22.815647,120,1391.426271
256.925772,188,1393.391367
192.743278,423,1397.736919
265.930747,246,1400.429772
37.064072,78,1401.246334
255.02536,188,1403.268307
265.505468,209,1405.438276
274.02447,304,1408.51856
271.214782,149,1410.109131
-67.198708,77,1410.986481
4.821989,83,1412.003479
270.003845,171,1413.909833
250.923376,177,1416.104683
167.772164,578,1422.469634
60.563602,111,1423.637675
198.022734,277,1426.674643
254.482698,158,1428.530216
302.612366,242,1431.601355
92.890036,99,1432.653852
261.369937,244,1435.158712
313.258358,259,1437.791701
147.24862,543,1443.483822
259.002246,150,1445.05987
58.20547,160,1446.946187
228.179658,368,1451.336975
269.045334,158,1453.122904
244.67657,168,1454.82954
255.356247,252,1457.33457
289.405107,182,1459.102654
235.092344,383,1463.970917
277.181146,182,1466.240219
276.509218,173,1468.070276
242.109823,184,1469.992515
287.133552,232,1472.40739
261.969933,175,1474.197268
227.43873,342,1477.716213
24.957373,119,1478.97451
260.752653,534,1485.040402
213.87874,213,1487.54754
-57.847128,119,1488.961655
-81.463214,222,1491.683605
269.6272,524,1497.295864
263.503058,490,1502.427247
-154.515816,292,1505.741034
248.177939,212,1508.109438
276.944296,182,1510.180557
284.369799,148,1511.935905
243.302629,164,1513.876483
146.336217,1000,1525.32788
276.018751,215,1527.775228
255.009798,647,1534.521459
282.865176,175,1536.560783
268.340598,199,1539.135689
296.558822,332,1543.419628
290.500829,164,1545.182131
248.950983,165,1546.951579
290.271787,258,1549.897924
269.458099,217,1552.483919
264.483058,194,1554.791284
289.981218,274,1557.996695
270.246929,202,1560.212635
255.659011,158,1561.88941
305.540326,305,1565.266364
293.406249,234,1567.884073
273.164655,195,1570.143033
305.235385,227,1572.706159
259.485849,175,1574.599064
272.135078,167,1576.411541
277.6146,231,1579.033512
288.792013,166,1580.887563
297.158851,277,1583.91779
271.461451,229,1586.678599
287.640438,249,1589.626807
252.874137,169,1591.700855
283.266089,256,1594.726401
246.754207,167,1596.590108
269.56773,182,1598.558331
303.140374,233,1601.137255
268.796647,281,1604.169239
-3.256964,138,1605.745298
288.673782,260,1608.987405
254.641122,215,1611.522398
243.12271,196,1613.935159
294.454561,227,1616.701844
239.608129,206,1619.010379
255.015972,178,1620.946581
276.5361,223,1623.364327
241.478008,204,1625.57778
297.367742,239,1628.44294
57.823151,129,1630.023103
246.501139,221,1632.780052
270.626455,203,1635.06703
257.209371,198,1637.251661
218.659116,240,1639.886979
221.294549,195,1642.118215
284.629584,198,1644.508415
296.900238,340,1648.467464
262.709487,196,1650.613492
249.605056,200,1652.773725
-16.520131,186,1654.937361
252.141254,207,1657.542496
137.26195,746,1666.405517
-124.843682,1000,1677.365202
244.262011,209,1679.638247
266.278642,174,1681.552231
289.700889,163,1683.381843
-20.172822,249,1685.955859
277.081483,243,1688.717862
